exercise_id,keyword_id
explosive-medicine-ball-press,327
explosive-medicine-ball-press,328
explosive-medicine-ball-press,6
explosive-medicine-ball-press,7
explosive-medicine-ball-press,8
explosive-medicine-ball-press,117
pull-ups-wide-grip,329
pull-ups-wide-grip,330
pull-ups-wide-grip,331
pull-ups-wide-grip,332
pull-ups-wide-grip,333
pull-ups-wide-grip,334
pull-ups-wide-grip,335
pull-ups-wide-grip,336
pull-ups-wide-grip,339
pull-ups-wide-grip,340
pull-ups-wide-grip,341
pull-ups-wide-grip,342
pull-ups-wide-grip,343
pull-ups-wide-grip,344
pull-ups-wide-grip,345
pull-ups-wide-grip,346
pull-ups-wide-grip,371
pull-ups-wide-grip,374
pull-ups-wide-grip,375
pull-ups-wide-grip,377
pull-ups-medium-grip,329
pull-ups-medium-grip,330
pull-ups-medium-grip,331
pull-ups-medium-grip,332
pull-ups-medium-grip,333
pull-ups-medium-grip,334
pull-ups-medium-grip,335
pull-ups-medium-grip,336
pull-ups-medium-grip,337
pull-ups-medium-grip,338
pull-ups-medium-grip,339
pull-ups-medium-grip,340
pull-ups-medium-grip,347
pull-ups-medium-grip,348
pull-ups-medium-grip,349
pull-ups-medium-grip,350
pull-ups-medium-grip,351
pull-ups-close-grip,329
pull-ups-close-grip,330
pull-ups-close-grip,331
pull-ups-close-grip,332
pull-ups-close-grip,333
pull-ups-close-grip,334
pull-ups-close-grip,335
pull-ups-close-grip,336
pull-ups-close-grip,337
pull-ups-close-grip,338
pull-ups-close-grip,339
pull-ups-close-grip,340
pull-ups-close-grip,352
pull-ups-close-grip,353
pull-ups-close-grip,354
pull-ups-close-grip,355
pull-ups-close-grip,356
pull-ups-close-grip,357
pull-ups-close-grip,371
pull-ups-close-grip,372
pull-ups-close-grip,373
pull-ups-close-grip,374
pull-ups-underhand-grip,329
pull-ups-underhand-grip,330
pull-ups-underhand-grip,331
pull-ups-underhand-grip,332
pull-ups-underhand-grip,333
pull-ups-underhand-grip,334
pull-ups-underhand-grip,335
pull-ups-underhand-grip,336
pull-ups-underhand-grip,337
pull-ups-underhand-grip,338
pull-ups-underhand-grip,339
pull-ups-underhand-grip,340
pull-ups-underhand-grip,358
pull-ups-underhand-grip,359
pull-ups-underhand-grip,360
pull-ups-underhand-grip,361
pull-ups-underhand-grip,362
pull-ups-underhand-grip,371
pull-ups-underhand-grip,372
pull-ups-underhand-grip,373
pull-ups-underhand-grip,374
pull-ups-underhand-grip,381
pull-ups-underhand-grip,382
pull-ups-neutral-grip,329
pull-ups-neutral-grip,330
pull-ups-neutral-grip,331
pull-ups-neutral-grip,332
pull-ups-neutral-grip,333
pull-ups-neutral-grip,334
pull-ups-neutral-grip,335
pull-ups-neutral-grip,336
pull-ups-neutral-grip,337
pull-ups-neutral-grip,338
pull-ups-neutral-grip,339
pull-ups-neutral-grip,340
pull-ups-neutral-grip,363
pull-ups-neutral-grip,364
pull-ups-neutral-grip,365
pull-ups-neutral-grip,366
pull-ups-neutral-grip,367
pull-ups-neutral-grip,368
pull-ups-neutral-grip,369
pull-ups-neutral-grip,370
pull-ups-neutral-grip,371
pull-ups-neutral-grip,372
pull-ups-neutral-grip,373
pull-ups-neutral-grip,374
pull-ups-neutral-grip,375
pull-ups-neutral-grip,377
pull-ups-archer,329
pull-ups-archer,330
pull-ups-archer,331
pull-ups-archer,332
pull-ups-archer,333
pull-ups-archer,334
pull-ups-archer,335
pull-ups-archer,336
pull-ups-archer,337
pull-ups-archer,338
pull-ups-archer,339
pull-ups-archer,340
pull-ups-archer,371
pull-ups-archer,374
pull-ups-archer,375
pull-ups-archer,377
pull-ups-archer,383
pull-ups-archer,384
pull-ups-archer,385
pull-ups-archer,386
pull-ups-archer,387
pull-ups-archer,388
pull-ups-archer,389
pull-ups-archer,390
pull-ups-archer,391
pull-ups-archer,392
pull-ups-one-arm,329
pull-ups-one-arm,330
pull-ups-one-arm,331
pull-ups-one-arm,332
pull-ups-one-arm,333
pull-ups-one-arm,334
pull-ups-one-arm,335
pull-ups-one-arm,336
pull-ups-one-arm,337
pull-ups-one-arm,338
pull-ups-one-arm,339
pull-ups-one-arm,340
pull-ups-one-arm,371
pull-ups-one-arm,374
pull-ups-one-arm,375
pull-ups-one-arm,377
pull-ups-one-arm,386
pull-ups-one-arm,387
pull-ups-one-arm,393
pull-ups-one-arm,394
pull-ups-one-arm,395
pull-ups-one-arm,396
pull-ups-one-arm,397
pull-ups-one-arm,398
pull-ups-one-arm,399
pull-ups-one-arm,400
pull-ups-weighted,329
pull-ups-weighted,330
pull-ups-weighted,331
pull-ups-weighted,332
pull-ups-weighted,333
pull-ups-weighted,334
pull-ups-weighted,335
pull-ups-weighted,336
pull-ups-weighted,337
pull-ups-weighted,338
pull-ups-weighted,339
pull-ups-weighted,340
pull-ups-weighted,371
pull-ups-weighted,374
pull-ups-weighted,375
pull-ups-weighted,377
pull-ups-weighted,401
pull-ups-weighted,402
pull-ups-weighted,403
pull-ups-weighted,404
pull-ups-weighted,405
pull-ups-weighted,406
pull-ups-weighted,407
pull-ups-weighted,408
pull-ups-weighted,409
pull-ups-weighted,410
pull-ups-l-sit,329
pull-ups-l-sit,330
pull-ups-l-sit,331
pull-ups-l-sit,332
pull-ups-l-sit,333
pull-ups-l-sit,334
pull-ups-l-sit,335
pull-ups-l-sit,336
pull-ups-l-sit,337
pull-ups-l-sit,338
pull-ups-l-sit,339
pull-ups-l-sit,340
pull-ups-l-sit,371
pull-ups-l-sit,374
pull-ups-l-sit,375
pull-ups-l-sit,377
pull-ups-l-sit,411
pull-ups-l-sit,412
pull-ups-l-sit,413
pull-ups-l-sit,414
pull-ups-l-sit,415
pull-ups-l-sit,416
pull-ups-l-sit,417
pull-ups-l-sit,418
pull-ups-behind-neck,329
pull-ups-behind-neck,330
pull-ups-behind-neck,331
pull-ups-behind-neck,332
pull-ups-behind-neck,333
pull-ups-behind-neck,334
pull-ups-behind-neck,335
pull-ups-behind-neck,336
pull-ups-behind-neck,337
pull-ups-behind-neck,338
pull-ups-behind-neck,339
pull-ups-behind-neck,340
pull-ups-behind-neck,371
pull-ups-behind-neck,374
pull-ups-behind-neck,375
pull-ups-behind-neck,377
pull-ups-behind-neck,378
